TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
668;10087.4;1;27;668;10087.4;27;766;0
2094;18123.2;1;31;279;18630.9;20;845;1
65;4048.56;1;24;65;4048.56;1;28;0
148;10305.7;1;27;148;10305.7;1;39;0
286;17860.3;1;41;286;17860.3;1;104;0
871;18425.8;1;43;871;18425.8;22;3796;0
159;10043;1;29;159;10043;1;55;0
910;2000.46;1;23;36;2391.95;1;23;1
1362;20931.3;1;59;315;21213.5;1;191;1
85;5374.47;1;25;85;5374.47;1;29;0
146;9671.99;1;28;146;9671.99;1;44;0
333;21372;1;55;333;21372;1;159;0
119;7631.93;1;24;119;7631.93;1;28;0
185;11576;1;36;185;11576;1;62;0
418;29536.5;1;69;418;29536.5;1;248;0
835;15229.1;1;29;262;15472.6;2;126;1
281;20894.2;1;49;281;20894.2;1;129;0
137;8977.82;1;27;151;9733.16;1;42;2
1741;22158.5;1;51;336;22402.2;1;154;1
137;9682.25;1;26;137;9682.25;1;34;0
201;13222.6;1;35;201;13222.6;1;61;0
716;11737.8;1;30;177;11924.6;1;54;1
266;17934;1;37;266;17934;1;86;0
207;13431.9;1;33;207;13431.9;1;65;0
209;13160.8;1;36;209;13160.8;1;79;0
3060;18663.5;1;48;288;19516.3;1;151;1
112;6845.99;1;25;112;6845.99;1;29;0
219;16999.2;1;30;219;16999.2;1;47;0
2421;16558.5;1;35;1552;17113.3;3;246;1
326;20572;1;39;326;20572;1;90;0
927;26456.6;1;56;927;26456.6;65;5070;0
901;22800.1;1;52;901;22800.1;88;2399;0
281;19408.6;1;40;281;19408.6;1;94;0
81;4983.22;1;24;81;4983.22;1;28;0
49;2750.45;1;23;49;2750.45;1;23;0
2612;14909.4;1;35;245;15099.4;1;65;1
329;19182.3;1;49;320;20245.8;1;158;1
2953;11734.6;1;31;181;11709.4;1;58;1
201;12510.9;1;30;201;12510.9;1;52;0
248;19420.4;1;42;271;20268.8;2;207;2
1511;7482.81;1;25;183;11978.3;1;74;1
3388;6908.82;1;26;110;6964.16;1;41;1
864;21802.9;1;45;359;23488.2;1;183;1
130;8607.43;1;27;130;8607.43;1;40;0
156;9852.88;1;29;156;9852.88;1;51;0
205;11799.9;1;33;205;11799.9;1;104;0
109;6706.03;1;25;109;6706.03;1;32;0
1135;7258.64;1;25;142;8895.04;1;37;1
261;9207.49;1;26;184;10930.2;4;197;1
266;12452.6;1;28;216;12708.3;1;53;1
469;30719.6;1;51;469;30719.6;1;158;0
949;15857.4;1;35;249;15838.4;1;71;1
2179;20341;1;50;371;22479.9;3;421;1
101;6278.79;1;24;101;6278.79;1;25;0
853;12732.1;1;30;256;15252.4;1;86;1
115;9265.3;1;26;115;9265.3;1;37;0
2139;12966.7;1;36;239;14061.9;1;84;1
1888;27732.3;1;54;419;27965.6;1;180;1
106;6804.39;1;23;106;6804.39;1;24;0
3797;5649.62;1;22;93;5733.57;3;732;1
117;7283.11;1;25;117;7283.11;1;34;0
194;11533.1;1;28;194;11533.1;1;46;0
2751;17830.2;1;34;2751;17830.2;2;131;0
2224;9995.64;1;27;179;10374;1;41;1
421;10423.5;1;25;421;10423.5;2;105;0
660;22358.1;1;54;370;23980.6;6;661;1
92;5411.75;1;24;92;5411.75;1;30;0
87;5334.37;1;25;87;5334.37;1;32;0
2496;28116.4;1;58;3026;29848.9;12;1611;2
1806;20404.5;1;47;312;20954.5;2;251;1
94;5627.65;1;25;94;5627.65;1;31;0
214;9217.06;1;27;165;10338;2;75;1
101;6216.15;1;25;101;6216.15;1;31;0
536;19763.6;1;45;309;20086.4;1;143;1
51;2469.18;1;23;51;2469.18;1;24;0
133;9101.46;1;27;133;9101.46;1;42;0
165;9583.56;1;27;165;9583.56;1;44;0
353;16437.7;1;33;289;18383;2;179;1
119;7591.75;1;26;119;7591.75;1;37;0
79;4875.61;1;24;79;4875.61;1;29;0
315;20435.2;1;37;315;20435.2;1;93;0
223;12216.6;1;30;176;12339.3;3;132;1
427;26828.8;1;66;434;26994.9;3;386;2
109;6705.57;1;24;109;6705.57;1;28;0
192;12429.8;1;27;192;12429.8;1;43;0
269;17242.8;1;31;269;17242.8;1;57;0
127;8523.5;1;25;127;8523.5;1;31;0
95;6620.21;1;24;95;6620.21;1;30;0
262;16840.1;1;33;262;16840.1;1;68;0
201;15687.9;1;26;201;15687.9;1;33;0
129;7789.74;1;24;129;7789.74;1;30;0
395;22386.5;1;41;353;22829.4;3;190;1
1644;29517.3;1;64;432;30420.3;2;468;1
1767;16195.3;1;38;259;16368.6;1;84;1
77;4963.15;1;25;77;4963.15;1;26;0
199;12790.2;1;29;199;12790.2;1;46;0
283;17547.2;1;45;283;17547.2;1;123;0
973;11518;1;29;214;16314.1;1;54;1
100;6901.77;1;26;100;6901.77;1;33;0
66;3896.77;1;24;66;3896.77;1;25;0
5453;10864.8;1;32;246;12139.6;2;144;1
285;21134.5;1;51;285;21134.5;1;139;0
1012;9040.51;1;27;1012;9451.53;4;129;0
194;12190.7;1;31;194;12190.7;1;58;0
2769;20646;1;55;367;22538.3;1;189;1
108;7399.85;1;26;108;7399.85;1;34;0
1823;15511.4;1;31;829;20978.2;5;356;1
47;3133.46;1;24;47;3133.46;1;25;0
181;11351.7;1;31;181;11351.7;1;54;0
5006;11461.8;1;28;172;11310.1;1;47;1
263;16525.2;1;34;271;17430.4;3;216;2
189;6597.62;1;25;111;7069.64;1;34;1
2159;8175.37;1;26;154;8517.7;2;89;1
3819;28003.3;1;50;433;28080.6;2;250;1
1099;11014.1;1;28;193;11285.8;1;43;1
78;5761.58;1;26;78;5761.58;1;32;0
169;10787.8;1;29;169;10787.8;1;48;0
432;9873.91;1;27;215;12886.7;1;85;1
667;5190.42;1;24;90;5466.28;1;30;1
91;6234.22;1;26;91;6234.22;1;35;0
41;2745.62;1;23;41;2745.62;1;24;0
